Nombre,Departamento,Asignaturas,Horario de Tutorías,URL
Antonio García Ríos,Departamento de Electrónica y Tecnología de Computadores,Grado en Ingeniería de Tecnologías de Telecomunicación: Diseño de Circuitos y Sistemas Electrónicos (Especialidad Sistemas Electrónicos); Grado en Ingeniería de Tecnologías de Telecomunicación: Diseño de Circuitos y Sist.Electrón (Optativa Especialidad Sistemas Electrónicos); Grado en Ingeniería de Tecnologías de Telecomunicación: Electrónica Digital,Primer semestreDíaHorarioLugarLunes11:00 - 14:00Dpto.Electronica-Dcho.9Martes11:00 - 14:00Dpto.Electronica-Dcho.9Segundo semestreDíaHorarioLugarMartes16:30 - 19:30Dpto.Electronica-Dcho.9Viernes11:00 - 14:00Dpto.Electronica-Dcho.9,https://etsiit.ugr.es/la-escuela/directorio-personal/antonio-garcia-rios
Francisco Javier García Ruiz,Departamento de Electrónica y Tecnología de Computadores,Grado en Ingeniería de Tecnologías de Telecomunicación: Electrónica de Microondas  (Especialidad Sistemas Electrónicos); Grado en Ingeniería de Tecnologías de Telecomunicación: Electrónica de Microondas (Optativa Especialidad Sistemas Electrónicos),DíaHorarioLugarMartes9:30 - 12:30Dpto.Electrónica-Dcho.10Jueves9:30 - 12:30Dpto.Electrónica-Dcho.10,https://etsiit.ugr.es/la-escuela/directorio-personal/francisco-javier-garcia-ruiz
Encarnación García Sánchez,Departamento de Organización de Empresas II,"Grado en Administración y Dirección de Empresas: Dirección Estratégica de la Empresa I; Grado en Ciencias Ambientales: Gestión Ambiental de la Empresa y Ecoeficiencia; Grado en Ingeniería Informática: Ingeniería, Empresa y Sociedad; Grado en Relaciones Laborales y Recursos Humanos: Auditoría de Recursos Humanos",Primer semestreDíaHorarioLugarLunes11:30 - 12:30Facultad Ccee Desp B100Miércoles10:00 - 14:00Facultad de CienciasJueves12:30 - 13:30Facultad Ccee Desp B100Segundo semestreDíaHorarioLugarMartes9:30 - 13:30Facultad Ccee Desp B100Jueves9:30 - 11:30Facultad de Relaciones Laborales,https://etsiit.ugr.es/la-escuela/directorio-personal/encarnacion-garcia-sanchez
Pablo García Sánchez,"Departamento de Ingeniería de Computadores, Automática y Robótica",Grado en Ingeniería Informática y Administración y Dirección de Empresas: Ingeniería de Servidores; Grado en Ingeniería Informática: Ingeniería de Servidores; Grado en Ingeniería Informática y Matemáticas: Ingeniería de Servidores,Primer semestreDíaHorarioLugarMartes15:30 - 17:30EtsiitViernes15:30 - 19:30EtsiitSegundo semestreDíaHorarioLugarViernes12:00 - 14:00EtsiitViernes17:30 - 19:30Etsiit,https://etsiit.ugr.es/la-escuela/directorio-personal/pablo-garcia-sanchez
Miguel García Silvente,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Ingeniería Informática: Estructura de Datos; Grado en Ingeniería Informática: Programación Técnica y Científica (Especialidad Computación y Sistemas Inteligentes); Grado en Ingeniería Informática y Matemáticas: Algorítmica,Primer semestreDíaHorarioLugarMartes11:30 - 13:00D30 (Etsiit)Miércoles9:30 - 13:00D30 (Etsiit)Jueves10:30 - 11:30D30 (Etsiit)Segundo semestreDíaHorarioLugarMiércoles10:00 - 12:30D30 (Etsiit)Jueves10:30 - 12:30D30 (Etsiit)Viernes11:00 - 12:30D30 (Etsiit),https://etsiit.ugr.es/la-escuela/directorio-personal/miguel-garcia-silvente
José Antonio García Soria,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Ingeniería Informática: Modelos de Computación,Primer semestreDíaHorarioLugarLunes9:30 - 12:30D11 (Etsiit)Martes9:30 - 12:30D11 (Etsiit)Segundo semestreDíaHorarioLugarLunes15:30 - 17:30D11 (Etsiit)Martes15:30 - 17:30D11 (Etsiit)Miércoles15:30 - 17:30D11 (Etsiit),https://etsiit.ugr.es/la-escuela/directorio-personal/jose-antonio-garcia-soria
Pedro García Teodoro,"Departamento de Teoría de la Señal, Telemática y Comunicaciones",Grado en Ingeniería de Tecnologías de Telecomunicación: Seguridad en Redes de Comunicación (Especialidad Telemática); Grado en Ingeniería de Tecnologías de Telecomunicación: Seguridad en Redes de Comunicación (Optativa Especialidad Telemática); Grado en Ingeniería de Tecnologías de Telecomunicación: Transmisión de Datos y Redes de Computadores,DíaHorarioLugarLunes17:00 - 19:00Desp. 2.9 EtsiitMiércoles11:00 - 13:00Desp. 2.9 EtsiitViernes11:00 - 13:00Desp. 2.9 Etsiit,https://etsiit.ugr.es/la-escuela/directorio-personal/pedro-garcia-teodoro
Jesús Alberto Garrido Alcázar,"Departamento de Ingeniería de Computadores, Automática y Robótica",Grado en Ingeniería Informática: Tecnología y Organización de Computadores,"Primer semestreDíaHorarioLugarLunes9:30 - 11:30Despacho 1.1, Edif. Auxiliar, EtsiitMartes9:30 - 11:30Despacho 1.1, Edif. Auxiliar, EtsiitMiércoles9:30 - 11:30Despacho 1.1, Edif. Auxiliar, EtsiitSegundo semestreDíaHorarioLugarLunes9:30 - 11:30Despacho 1.1, Edif. Auxiliar, EtsiitMartes9:30 - 11:30Despacho 1.1, Edif. Auxiliar, EtsiitMiércoles9:30 - 11:30Despacho 1.1, Edif. Auxiliar, Etsiit",https://etsiit.ugr.es/la-escuela/directorio-personal/jesus-alberto-garrido-alcazar
José Luis Garrido Bullejos,Departamento de Lenguajes y Sistemas Informáticos,Grado en Ingeniería Informática: Desarrollo de Sistemas Distribuidos  (Especialidad Ingeniería del Software); Grado en Ingeniería Informática: Desarrollo de Sistemas Distribuidos (Optativa Especialidad Ingeniería del Software); Grado en Ingeniería Informática: Sistemas Operativos,Primer semestreDíaHorarioLugarMartes9:30 - 12:30Etsiit 3ª Planta Despacho 12Miércoles11:00 - 14:00Etsiit 3ª Planta Despacho 12Segundo semestreDíaHorarioLugarMartes10:30 - 13:30Etsiit 3ª Planta Despacho 12Miércoles11:00 - 14:00Etsiit 3ª Planta Despacho 12,https://etsiit.ugr.es/la-escuela/directorio-personal/jose-luis-garrido-bullejos
Antonio Garrido Carrillo,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Ingeniería Informática: Fundamentos de Programación; Grado en Matemáticas: Informática II,Primer semestreDíaHorarioLugarMartes8:00 - 9:30D18 (Etsiit)Martes11:30 - 13:30D18 (Etsiit)Martes16:30 - 17:30D18 (Etsiit)Martes19:30 - 20:00D18 (Etsiit)Jueves16:30 - 17:30D18 (Etsiit)Segundo semestreDíaHorarioLugarLunes8:00 - 9:00D18 (Etsiit)Lunes10:00 - 10:30D18 (Etsiit)Lunes16:00 - 17:30D18 (Etsiit)Martes8:00 - 9:00D18 (Etsiit)Martes10:00 - 10:30D18 (Etsiit)Martes16:00 - 17:30D18 (Etsiit),https://etsiit.ugr.es/la-escuela/directorio-personal/antonio-garrido-carrillo
