Nombre,Departamento,Asignaturas,Horario de Tutorías,URL
Nuria López Ruiz,Departamento de Electrónica y Tecnología de Computadores,Grado en Ingeniería de Tecnologías de Telecomunicación: Electrónica Analógica,"DíaHorarioLugarMartes11:30 - 14:30Etsiit - Despacho 7, Zona de Dirección.Jueves14:30 - 17:30Etsiit - Despacho 7, Zona de Dirección.",https://etsiit.ugr.es/la-escuela/directorio-personal/nuria-lopez-ruiz
Juan Manuel López Soler,"Departamento de Teoría de la Señal, Telemática y Comunicaciones",Grado en Ingeniería de Tecnologías de Telecomunicación: Redes Multimedia (Especialidad Telemática); Grado en Ingeniería de Tecnologías de Telecomunicación: Redes Multimedia (Optativa Especialidad Telemática); Grado en Ingeniería Informática: Fundamentos de Redes; Grado en Ingeniería Informática y Matemáticas: Fundamentos de Redes,DíaHorarioLugarLunes9:00 - 15:00Desp. 2.10 Etsiit,https://etsiit.ugr.es/la-escuela/directorio-personal/juan-manuel-lopez-soler
Rafael López Soriano,Departamento de Análisis Matemático,Grado en Ingeniería de Tecnologías de Telecomunicación: Análisis Matemático,Primer semestreDíaHorarioLugarMartes10:00 - 13:00Miércoles10:00 - 13:00Segundo semestreDíaHorarioLugarMartes11:00 - 13:00CienciasMiércoles11:00 - 13:00CienciasJueves11:00 - 13:00Ciencias,https://etsiit.ugr.es/la-escuela/directorio-personal/rafael-lopez-soriano
Ramón López-Cózar Delgado,Departamento de Lenguajes y Sistemas Informáticos,Grado en Bellas Artes: Creación Multimedia Interactiva; Grado en Ingeniería Informática: Procesadores de Lenguajes (Especialidad Computación y Sistemas Inteligentes); Grado en Ingeniería Informática: Procesadores de Lenguajes (Optativa Especialidad Computación  y Sistemas Inteligentes); Grado en Ingeniería Informática y Matemáticas: Procesadores de Lenguajes,Primer semestreDíaHorarioLugarMartes10:30 - 13:30Etsiit Desp. 26 3ª PlantaMiércoles10:30 - 13:30Etsiit Desp. 26 3ª PlantaSegundo semestreDíaHorarioLugarMartes10:30 - 13:30Aula Inf 1 F. BbaaMiércoles10:30 - 13:30Etsiit Desp. 26 3ª Planta,https://etsiit.ugr.es/la-escuela/directorio-personal/ramon-lopez-cozar-delgado
Manuel Lozano Márquez,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Ingeniería Informática: Fundamentos de Programación,Primer semestreDíaHorarioLugarJueves9:30 - 13:30D36 (Etsiit)Viernes9:30 - 11:30D36 (Etsiit)Segundo semestreDíaHorarioLugarLunes10:00 - 12:00D19 (Etsiit)Martes10:00 - 12:00D 19 (Etsiit)Jueves10:00 - 12:00D19 (Etsiit),https://etsiit.ugr.es/la-escuela/directorio-personal/manuel-lozano-marquez
Julián Luengo Martín,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Ingeniería Informática y Administración y Dirección de Empresas: Fundamentos de Programación; Grado en Ingeniería de Tecnologías de Telecomunicación: Fundamentos de Programación,Primer semestreDíaHorarioLugarMartes9:30 - 12:30D16 (Etsiit)Martes13:30 - 14:00D16 (Etsiit)Viernes9:30 - 11:30D16 (Etsiit)Viernes13:30 - 14:00D16 (Etsiit)Segundo semestreDíaHorarioLugarLunes10:30 - 13:30D16 (Etsiit)Jueves10:30 - 13:30D16 (Etsiit),https://etsiit.ugr.es/la-escuela/directorio-personal/julian-luengo-martin
Niceto Rafael Luque Sola,"Departamento de Ingeniería de Computadores, Automática y Robótica",Grado en Ingeniería Informática: Arquitectura de Computadores; Grado en Ingeniería Informática: Estructura de Computadores; Grado en Ingeniería Informática y Matemáticas: Arquitectura de Computadores,No disponible,https://etsiit.ugr.es/la-escuela/directorio-personal/niceto-rafael-luque-sola
María Victoria Luzón García,Departamento de Lenguajes y Sistemas Informáticos,Grado en Ingeniería Informática: Fundamentos del Software,Primer semestreDíaHorarioLugarJueves12:30 - 14:00Etsiit Desp. 40 3ª PlantaJueves15:00 - 17:30Etsiit Desp. 40 3ª PlantaViernes11:30 - 13:30Etsiit Desp. 40 3ª PlantaSegundo semestreDíaHorarioLugarJueves12:30 - 14:00Etsiit Desp. 40 3ª PlantaJueves15:00 - 17:30Etsiit Desp. 40 3ª PlantaViernes11:30 - 13:30Etsiit Desp. 40 3ª Planta,https://etsiit.ugr.es/la-escuela/directorio-personal/maria-victoria-luzon-garcia
Gabriel Maciá Fernández,"Departamento de Teoría de la Señal, Telemática y Comunicaciones",Grado en Ingeniería de Tecnologías de Telecomunicación: Seguridad en Redes de Comunicación (Especialidad Telemática); Grado en Ingeniería de Tecnologías de Telecomunicación: Sistemas Telemáticos,Primer semestreDíaHorarioLugarMartes15:30 - 18:30Desp. 2.18 EtsiitJueves16:30 - 17:30Desp. 2.18 EtsiitViernes15:30 - 17:30Desp. 2.18 EtsiitSegundo semestreDíaHorarioLugarLunes8:30 - 9:30Desp. 2.18 EtsiitLunes11:30 - 13:30Desp. 2.18 EtsiitMiércoles8:30 - 9:30Desp. 2.18 EtsiitMiércoles11:30 - 13:30Desp. 2.18 Etsiit,https://etsiit.ugr.es/la-escuela/directorio-personal/gabriel-macia-fernandez
Roberto Magán Carrión,"Departamento de Teoría de la Señal, Telemática y Comunicaciones",Grado en Ingeniería de Tecnologías de Telecomunicación: Redes de Acceso y Corporativas (Especialidad Telemática); Grado en Ingeniería de Tecnologías de Telecomunicación: Redes de Acceso y Corporativas (Optativa Especialidad Telemática); Grado en Ingeniería Informática: Fundamentos de Redes,DíaHorarioLugarMartes12:30 - 14:30Desp. 2.18 EtsiitMiércoles12:30 - 14:30Desp. 2.18 EtsiitJueves12:30 - 14:30Desp. 2.18 Etsiit,https://etsiit.ugr.es/la-escuela/directorio-personal/roberto-magan-carrion
Juan Antonio Maldonado Jurado,Departamento de Estadística e Investigación Operativa,Grado en Estadística: Estadística Descriptiva; Grado en Ingeniería Informática y Matemáticas: Estadística Descriptiva e Introd a la Probabilidad,DíaHorarioLugarMiércoles11:00 - 14:00Jueves10:00 - 11:00Jueves12:00 - 14:00,https://etsiit.ugr.es/la-escuela/directorio-personal/juan-antonio-maldonado-jurado
José Miguel Mantas Ruiz,Departamento de Lenguajes y Sistemas Informáticos,Grado en Ingeniería Informática: Programación Paralela (Especialidad Ingeniería del Software); Grado en Ingeniería Informática: Sistemas Concurrentes y Distribuidos; Grado en Ingeniería Informática y Matemáticas: Sistemas Concurrentes y Distribuidos,Primer semestreDíaHorarioLugarLunes10:00 - 11:30Etsiit 3ª P Despacho 20Martes11:30 - 13:00Etsiit 3ª P Despacho 20Miércoles10:00 - 13:00Etsiit 3ª P Despacho 20Segundo semestreDíaHorarioLugarMartes10:00 - 11:30Etsiit 3ª P Despacho 20Miércoles12:30 - 13:30Etsiit 3ª P Despacho 20Jueves10:00 - 13:30Etsiit 3ª P Despacho 20,https://etsiit.ugr.es/la-escuela/directorio-personal/jose-miguel-mantas-ruiz
Nicolás Marín Ruiz,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Ingeniería Civil (Plan 2023): Fundamentos de Informática; Grado en Ingeniería Informática y Matemáticas: Fundamentos de Bases de Datos,Primer semestreDíaHorarioLugarLunes10:30 - 14:30D68-4P (Etsiccp)Viernes10:30 - 12:30D17 (Etsiit)Segundo semestreDíaHorarioLugarLunes10:30 - 13:30D17 (Etsiit)Martes10:30 - 13:30D17 (Etsiit),https://etsiit.ugr.es/la-escuela/directorio-personal/nicolas-marin-ruiz
María José Martín Bautista,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Información y Documentación: Bases de Datos; Grado en Ingeniería Informática: Diseño y Desarrollo de Sistemas de Información,DíaHorarioLugarLunes10:30 - 12:30D27 (Etsiit)Miércoles10:30 - 12:30D27 (Etsiit)Viernes11:00 - 13:00D27 (Etsiit),https://etsiit.ugr.es/la-escuela/directorio-personal/maria-jose-martin-bautista
Carlos Enrique Martín Oviedo,Departamento de Economía Financiera y Contabilidad,Grado en Administración y Dirección de Empresas: Planificación y Valoración de Empresas; Grado en Finanzas y Contabilidad: Creación de Empresas; Grado en Ingeniería Informática: Creación de Empresas y Gestión Emprendedora; Grado en Marketing e Investigación de Mercados: Creación de Empresas,Primer semestreDíaHorarioLugarMiércoles15:30 - 17:30B 018Jueves17:30 - 21:30B 018Segundo semestreDíaHorarioLugarMartes16:30 - 19:30B 018Jueves16:30 - 19:30B 018,https://etsiit.ugr.es/la-escuela/directorio-personal/carlos-enrique-martin-oviedo
Domingo Martín Perandrés,Departamento de Lenguajes y Sistemas Informáticos,Grado en Bellas Artes: Aplicaciones Interactivas; Grado en Bellas Artes: Diseño: Medios Digitales; Grado en Ingeniería Informática: Informática Gráfica,Primer semestreDíaHorarioLugarLunes11:00 - 12:00Facultad Bbaa  Aula InformaticaLunes14:00 - 15:00Facultad Bbaa  Aula InformaticaMartes11:00 - 12:00Facultad Bbaa  Aula InformaticaMartes14:00 - 15:00Facultad Bbaa  Aula InformaticaMiércoles17:30 - 19:30Etsiit 3ª Planta (Despacho 38)Segundo semestreDíaHorarioLugarLunes11:00 - 12:00Facultad Bbaa  Aula InformaticaLunes14:00 - 15:00Facultad Bbaa  Aula InformaticaMartes11:00 - 12:00Facultad Bbaa  Aula InformaticaMartes14:00 - 15:00Facultad Bbaa  Aula InformaticaMiércoles17:30 - 19:30Etsiit 3ª Planta (Despacho 38),https://etsiit.ugr.es/la-escuela/directorio-personal/domingo-martin-perandres
Rodrigo Martín Rojas,Departamento de Organización de Empresas II,"Grado en Administración y Dirección de Empresas: Organización de Empresas; Grado en Ingeniería Informática: Ingeniería, Empresa y Sociedad",Primer semestreDíaHorarioLugarMartes10:00 - 13:00Desp A-201 Fac CceeJueves10:00 - 13:00Desp A-201 Fac CceeSegundo semestreDíaHorarioLugarLunes11:30 - 13:30Desp 15 3º Planta EtsiitLunes17:30 - 19:30Desp A-201 Fac CceeMartes17:30 - 19:30Desp A-201 Fac Ccee,https://etsiit.ugr.es/la-escuela/directorio-personal/rodrigo-martin-rojas
José Aureliano Martín Segura,Departamento de Organización de Empresas II,"Grado en Ingeniería Informática y Matemáticas: Ingeniería, Empresa y Sociedad",Primer semestreDíaHorarioLugarMiércoles10:00 - 13:00Desp 1 Facultad CienciasJueves10:00 - 13:00Desp 1 Facultad CienciasSegundo semestreDíaHorarioLugarMiércoles16:30 - 19:30Escuela de InformaticaJueves10:30 - 13:30Desp A201 Facultad Ccee,https://etsiit.ugr.es/la-escuela/directorio-personal/jose-aureliano-martin-segura
Inmaculada Martín Tapia,Departamento de Organización de Empresas II,Grado en Administración y Dirección de Empresas: Dirección Estratégica de la Empresa I; Grado en Administración y Dirección de Empresas: Dirección y Administración de Empresas; Grado en Edificación y Administración y Dirección de Empresas: Dirección Estratégica de la Empresa I; Grado en Ingeniería Informática y Administración y Dirección de Empresas: Dirección Estratégica de la Empresa I; Grado en Ingeniería Civil y Administración y Dirección de Empresas: Dirección Estratégica de la Empresa I,Primer semestreDíaHorarioLugarMiércoles12:30 - 15:30Desp B226 Facultad CceeMiércoles17:30 - 18:30Desp B226 Facultad CceeJueves10:30 - 12:30Desp B226 Facultad CceeSegundo semestreDíaHorarioLugarMiércoles10:30 - 13:30Desp B226 Facultad CceeJueves10:30 - 13:30Desp B226 Facultad Ccee,https://etsiit.ugr.es/la-escuela/directorio-personal/inmaculada-martin-tapia
Fernando Martínez Álvarez,Departamento de Estadística e Investigación Operativa,Grado en Bioquímica: Estadística; Grado en Enfermería: Estadística; Grado en Ingeniería Civil (Plan 2023): Estadística; Grado en Ingeniería de Tecnologías de Telecomunicación: Estadística y Optimización,Primer semestreDíaHorarioLugarMartes9:30 - 12:30Dpto. Estadística Desp. 2 Facultad CienciasViernes9:30 - 12:30Dpto. Estadística Desp. 2 Facultad CienciasSegundo semestreDíaHorarioLugarLunes11:30 - 12:30Despacho 16 3ª Pl. EtsittMiércoles9:30 - 11:30Despacho 16 3ª Pl. EtsittViernes9:30 - 12:30Despacho 16 3ª Pl. Etsitt,https://etsiit.ugr.es/la-escuela/directorio-personal/fernando-martinez-alvarez
Miguel Martínez Antón,Departamento de Álgebra,Grado en Ingeniería de Tecnologías de Telecomunicación: Álgebra Lineal y Geometría; Grado en Ingeniería Informática: Álgebra Lineal y Estructuras Matemáticas,No disponible,https://etsiit.ugr.es/la-escuela/directorio-personal/miguel-martinez-anton
Javier Martínez Baena,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Ingeniería Informática: Metodología de la Programación; Grado en Ingeniería Informática: Tecnologías Web (Especialidad Tecnologías de la Información); Grado en Ingeniería Informática: Tecnologías Web (Optativa Especialidad Tecnologías de la Información),Primer semestreDíaHorarioLugarMartes10:00 - 13:00D24 (Etsiit)Miércoles10:00 - 13:00D24 (Etsiit)Segundo semestreDíaHorarioLugarMiércoles8:30 - 9:30D24 (Etsiit)Miércoles10:30 - 11:30D24 (Etsiit)Jueves8:30 - 12:30D24 (Etsiit),https://etsiit.ugr.es/la-escuela/directorio-personal/javier-martinez-baena
Pablo Martínez Cañada,"Departamento de Ingeniería de Computadores, Automática y Robótica",Grado en Ingeniería de Tecnologías de Telecomunicación: Sistemas Electrónicos Digitales; Grado en Ingeniería Informática: Arquitectura y Computación de Altas Prestaciones (Especialidad Ingeniería de Computadores),No disponible,https://etsiit.ugr.es/la-escuela/directorio-personal/pablo-martinez-canada
Carmen Josefa Martínez Cruz,Departamento de Lenguajes y Sistemas Informáticos,Grado en Ingeniería Informática: Programación y Diseño Orientado a Objetos; Grado en Marketing e Investigación de Mercados: Informática Aplicada a la Gestión  Comercial; Grado en Turismo: Tecnología Informática para la Empresa,Primer semestreDíaHorarioLugarMartes10:30 - 13:00Edificio Auxiliar Despacho 1.3Jueves10:00 - 12:30Facultad Cc. Económicas y Empresariales Despacho B012Segundo semestreDíaHorarioLugarMartes10:30 - 13:00Edificio Auxiliar Despacho 1.3Jueves10:00 - 12:30Facultad Cc. Económicas y Empresariales Despacho B012,https://etsiit.ugr.es/la-escuela/directorio-personal/carmen-josefa-martinez-cruz
Pedro Manuel Martínez Jiménez,Departamento de Lenguajes y Sistemas Informáticos,Grado en Arqueología: Estadística y Aplicaciones Informáticas en Arqueología; Grado en Ingeniería Informática: Fundamentos de Ingeniería del Software; Grado en Ingeniería Informática: Fundamentos del Software; Grado en Traducción e Interpretación: Herramientas Informáticas para Traductores e Intérpretes,"Primer semestreDíaHorarioLugarLunes16:30 - 18:30Etsiit, Planta 3, Despacho 22 (Cita Previa)Martes16:00 - 18:00F. Traducción e Interpretación, C/ Buensuceso, 11 Despacho 2 (Cita Previa)Jueves17:30 - 19:30Etsiit, Planta 3, Despacho 22 (Cita Previa)Segundo semestreDíaHorarioLugarMartes11:30 - 14:30Etsiit, Planta 3, Despacho 22 (Cita Previa)Martes15:30 - 18:30Etsiit, Planta 3, Despacho 22 (Cita Previa)",https://etsiit.ugr.es/la-escuela/directorio-personal/pedro-manuel-martinez-jimenez
Práxedes Martínez Moreno,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Ingeniería Informática: Estructura de Datos,No disponible,https://etsiit.ugr.es/la-escuela/directorio-personal/praxedes-martinez-moreno
Francisco Jesús Martínez Murcia,"Departamento de Teoría de la Señal, Telemática y Comunicaciones",Grado en Ingeniería de Tecnologías de Telecomunicación: Sistemas de Radiocomunicación (Especialidad Sistemas de Telecomunicación); Grado en Ingeniería de Tecnologías de Telecomunicación: Sistemas de Radiocomunicación (Optativa Especialidad Sistemas de Telecomunicación),DíaHorarioLugarMartes10:30 - 13:30Desp. D1-6 Citic,https://etsiit.ugr.es/la-escuela/directorio-personal/francisco-jesus-martinez-murcia
Eva Martínez Ortigosa,"Departamento de Ingeniería de Computadores, Automática y Robótica",Grado en Ingeniería Informática: Tecnología y Organización de Computadores,"Primer semestreDíaHorarioLugarMartes11:30 - 14:30Descacho 2-33, EtsiitMiércoles11:30 - 14:30Descacho 2-33, EtsiitSegundo semestreDíaHorarioLugarMartes11:30 - 14:30Descacho 2-33, EtsiitMiércoles11:30 - 14:30Descacho 2-33, Etsiit",https://etsiit.ugr.es/la-escuela/directorio-personal/eva-martinez-ortigosa
Javier Mateos Delgado,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Comunicación Audiovisual: Bases Técnicas de los Medios Audiovisuales; Grado en Ingeniería de Tecnologías de Telecomunicación: Procesamiento de Vídeo Digital,Primer semestreDíaHorarioLugarLunes9:30 - 13:30D20 (Etsiit)Martes9:00 - 11:00Bo (Fcyd)Segundo semestreDíaHorarioLugarMartes11:30 - 13:30D20 (Etsiit)Miércoles9:30 - 13:30D20 (Etsiit),https://etsiit.ugr.es/la-escuela/directorio-personal/javier-mateos-delgado
Cristina Medina Bailón,Departamento de Electrónica y Tecnología de Computadores,Grado en Ingeniería Informática y Administración y Dirección de Empresas: Fundamentos Físicos y Tecnológicos; Grado en Ingeniería de Tecnologías de Telecomunicación: Componentes y Circuitos Electrónicos; Grado en Ingeniería Electrónica Industrial: Electrónica Digital; Grado en Ingeniería Informática: Fundamentos Físicos y Tecnológicos,DíaHorarioLugarMartes10:30 - 13:30Despacho 7. Facultad de Ciencias. Depart. ElectrónicaMiércoles10:30 - 13:30Despacho 7. Facultad de Ciencias. Depart. Electrónica,https://etsiit.ugr.es/la-escuela/directorio-personal/cristina-medina-bailon
Nuria Medina Medina,Departamento de Lenguajes y Sistemas Informáticos,Grado en Ingeniería Informática: Programación y Diseño Orientado a Objetos,Primer semestreDíaHorarioLugarLunes11:30 - 13:30Etsiit 3ª Planta Despacho 25Miércoles11:30 - 13:30Etsiit 3ª Planta Despacho 25Viernes11:30 - 13:30Etsiit 3ª Planta Despacho 25Segundo semestreDíaHorarioLugarMartes10:30 - 13:30Etsiit 3ª Planta Despacho 25Miércoles10:30 - 13:30Etsiit 3ª Planta Despacho 25,https://etsiit.ugr.es/la-escuela/directorio-personal/nuria-medina-medina
Javier Medina Quero,"Departamento de Ingeniería de Computadores, Automática y Robótica",Grado en Ingeniería Informática y Administración y Dirección de Empresas: Arquitectura de Computadores; Grado en Ingeniería Electrónica Industrial: Informática y Comunicaciones Industriales; Grado en Ingeniería Informática: Arquitectura de Computadores; Grado en Ingeniería Informática: Ingeniería de Servidores,No disponible,https://etsiit.ugr.es/la-escuela/directorio-personal/javier-medina-quero
Juan Miguel Medina Rodríguez,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Ingeniería Informática: Fundamentos de Bases de Datos,Primer semestreDíaHorarioLugarJueves8:30 - 14:30D35 (Etsiit)Segundo semestreDíaHorarioLugarMartes8:30 - 12:30D35 (Etsiit)Miércoles12:30 - 13:30D35 (Etsiit)Viernes10:30 - 11:30D35 (Etsiit),https://etsiit.ugr.es/la-escuela/directorio-personal/juan-miguel-medina-rodriguez
Ignacio Melchor Ferrer,Departamento de Electrónica y Tecnología de Computadores,Grado en Ingeniería Informática: Fundamentos Físicos y Tecnológicos,No disponible,https://etsiit.ugr.es/la-escuela/directorio-personal/ignacio-melchor-ferrer
Juan Julián Merelo Guervos,"Departamento de Ingeniería de Computadores, Automática y Robótica",Grado en Ingeniería Informática: Infraestructura Virtual (Especialidad Tecnologías de la Información); Grado en Ingeniería Informática: Infraestructura Virtual (Optativa Especialidad Tecnologías de la Información); Grado en Ingeniería Informática y Matemáticas: Infraestructura Virtual,No disponible,https://etsiit.ugr.es/la-escuela/directorio-personal/juan-julian-merelo-guervos
Francisco Javier Meri de la Maza,Departamento de Análisis Matemático,Grado en Ingeniería Informática y Matemáticas: Variable Compleja I; Grado en Matemáticas: Variable Compleja I; Grado en Matemáticas y Física: Variable Compleja 1,Primer semestreDíaHorarioLugarMiércoles12:00 - 13:30Facultad de CienciasJueves9:00 - 13:30Facultad de CienciasSegundo semestreDíaHorarioLugarLunes10:30 - 13:30Facultad de CienciasMartes10:30 - 13:30Facultad de Ciencias,https://etsiit.ugr.es/la-escuela/directorio-personal/francisco-javier-meri-la-maza
Luis Miguel Merino González,Departamento de Álgebra,Grado en Ingeniería Informática y Administración y Dirección de Empresas: Álgebra Lineal y Estructuras Matemáticas; Grado en Matemáticas: Álgebra I,Primer semestreDíaHorarioLugarJueves10:00 - 12:00Desp. 40 - Fac. CienciasJueves17:00 - 18:00Desp. 40 - Fac. CienciasViernes10:00 - 13:00Desp. 40 - Fac. CienciasSegundo semestreDíaHorarioLugarMiércoles10:00 - 13:00Desp. 40 - Fac. CienciasMiércoles17:00 - 19:00Desp. 40 - Fac. CienciasJueves12:30 - 13:30Desp. 16 - Etsiit,https://etsiit.ugr.es/la-escuela/directorio-personal/luis-miguel-merino-gonzalez
Tamar Mesablishvili,Departamento de Álgebra,Grado en Ingeniería Informática: Álgebra Lineal y Estructuras Matemáticas; Grado en Matemáticas: Álgebra Conmutativa Computacional,No disponible,https://etsiit.ugr.es/la-escuela/directorio-personal/tamar-mesablishvili
Pablo Mesejo Santiago,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Ingeniería Informática: Técnicas de los Sistemas Inteligentes (Especialidad Computación y Sistemas Inteligentes); Grado en Ingeniería Informática: Visión por Computador (Especialidad Computación y Sistemas Inteligentes); Grado en Ingeniería Informática: Visión por Computador (Optativa Especialidad Computación y Sistemas Inteligentes); Grado en Ingeniería Informática y Matemáticas: Visión por Computador,Primer semestreDíaHorarioLugarLunes10:00 - 13:00Nd (Etsiit)Martes10:00 - 13:00Nd (Etsiit)Segundo semestreDíaHorarioLugarLunes10:00 - 13:00Nd (Etsiit)Martes10:00 - 13:00Nd (Etsiit),https://etsiit.ugr.es/la-escuela/directorio-personal/pablo-mesejo-santiago
Carlos Molero Jiménez,"Departamento de Teoría de la Señal, Telemática y Comunicaciones",Grado en Ingeniería de Tecnologías de Telecomunicación: Comunicaciones II,DíaHorarioLugarMartes10:00 - 12:30Desp. D1-5 Edf. Citic,https://etsiit.ugr.es/la-escuela/directorio-personal/carlos-molero-jimenez
Daniel Molina Cabrera,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Ingeniería Informática: Algorítmica; Grado en Ingeniería Informática: Metaheurísticas  (Especialidad Computación y Sistemas Inteligentes),Primer semestreDíaHorarioLugarMartes10:00 - 13:00D21 (Etsiit)Miércoles10:00 - 13:00D21 (Etsiit)Segundo semestreDíaHorarioLugarLunes17:30 - 18:30D21 (Etsiit)Miércoles10:00 - 11:30D21 (Etsiit)Miércoles17:30 - 18:30D21 (Etsiit)Jueves10:00 - 11:30D21 (Etsiit)Jueves12:30 - 13:30D21 (Etsiit),https://etsiit.ugr.es/la-escuela/directorio-personal/daniel-molina-cabrera
Carlos Molina Fernández,Departamento de Lenguajes y Sistemas Informáticos,Grado en Ingeniería Informática: Ética Informática y Sociedad de la Información,Primer semestreDíaHorarioLugarMartes9:30 - 12:30Etsiit 3ª P Despacho 21Miércoles9:30 - 12:30Etsiit 3ª P Despacho 21Segundo semestreDíaHorarioLugarMartes9:30 - 12:30Etsiit 3ª P Despacho 21Miércoles9:30 - 12:30Etsiit 3ª P Despacho 21,https://etsiit.ugr.es/la-escuela/directorio-personal/carlos-molina-fernandez
Rafael Molina Soriano,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Ingeniería Informática: Compresión y Recuperación de Información Multimedia (Especialidad Tecnologías de la Información); Grado en Ingeniería Informática: Tratamiento de Imágenes Digitales (Especialidad Tecnologías de la Información),Primer semestreDíaHorarioLugarLunes8:00 - 9:30D06 (Etsiit)Lunes15:30 - 18:30D06 (Etsiit)Martes8:00 - 9:30D06 (Etsiit)Segundo semestreDíaHorarioLugarMiércoles10:30 - 13:30D06 (Etsiit)Jueves10:30 - 13:30D06 (Etsiit),https://etsiit.ugr.es/la-escuela/directorio-personal/rafael-molina-soriano
Rosa Ana Montes Soldado,Departamento de Lenguajes y Sistemas Informáticos,Grado en Ingeniería Informática: Diseño de Interfaces de Usuario (Especialidad Ingeniería del Software); Grado en Ingeniería Informática: Fundamentos del Software,Primer semestreDíaHorarioLugarJueves11:30 - 14:30Edificio Ugr Ai 0D3Viernes9:30 - 11:30Etsiit Despacho 19 3ª PlantaViernes17:30 - 18:30Etsiit Despacho 19 3ª PlantaSegundo semestreDíaHorarioLugarMiércoles11:00 - 14:00Etsiit Despacho 19 3ª PlantaViernes11:00 - 14:00Edificio Ugr Ai 0D3,https://etsiit.ugr.es/la-escuela/directorio-personal/rosa-ana-montes-soldado
Antonio Miguel Mora García,"Departamento de Teoría de la Señal, Telemática y Comunicaciones",Grado en Ingeniería Informática: Fundamentos de Redes; Grado en Ingeniería Informática: Transmisión de Datos y Redes de Computadores (Especialidadtecnologías de la Información); Grado en Ingeniería Informática: Transmisiónde Datos y Redes de Computadores (Optativa Especialidad Tecnologías de la Información); Grado en Ingeniería Informática y Matemáticas: Transmisión de Datos y Redes de Computadores,DíaHorarioLugarMartes9:30 - 11:30Desp. 5.1 EtsiitMiércoles9:30 - 11:30Desp. 5.1 EtsiitJueves9:30 - 11:30Desp. 5.1 Etsiit,https://etsiit.ugr.es/la-escuela/directorio-personal/antonio-miguel-mora-garcia
Carmen Lucía Moraila Martínez,Departamento de Electrónica y Tecnología de Computadores,Grado en Ingeniería de Tecnologías de Telecomunicación: Electrónica de Potencia,No disponible,https://etsiit.ugr.es/la-escuela/directorio-personal/carmen-lucia-moraila-martinez
Serafín Moral Callejón,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Ingeniería Informática y Administración y Dirección de Empresas: Modelos de Computación; Grado en Ingeniería Informática: Modelos Avanzados de Computación (Optativa Especialidad Computación  y Sistemas Intelignetes); Grado en Ingeniería Informática: Modelos Avanzados de Computación  (Especialidad Computación y Sistemas Inteligentes); Grado en Ingeniería Informática y Matemáticas: Modelos de Computación,Primer semestreDíaHorarioLugarLunes11:00 - 13:00D04 (Etsiit)Martes11:00 - 13:00D04 (Etsiit)Jueves11:00 - 13:00D04 (Etsiit)Segundo semestreDíaHorarioLugarLunes11:00 - 13:00D04 (Etsiit)Martes11:00 - 13:00D04 (Etsiit)Miércoles11:00 - 13:00D04 (Etsiit),https://etsiit.ugr.es/la-escuela/directorio-personal/serafin-moral-callejon
Pablo Morales Álvarez,Departamento de Estadística e Investigación Operativa,Grado en Ingeniería Informática: Estadística,No disponible,https://etsiit.ugr.es/la-escuela/directorio-personal/pablo-morales-alvarez
Andrea Morales Garzón,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Ingeniería Informática: Diseño y Desarrollo de Sistemas de Información,No disponible,https://etsiit.ugr.es/la-escuela/directorio-personal/andrea-morales-garzon
Diego Pedro Morales Santos,Departamento de Electrónica y Tecnología de Computadores,Grado en Ingeniería de Tecnologías de Telecomunicación: Electrónica de Potencia; Grado en Ingeniería Informática: Fundamentos Físicos y Tecnológicos,"DíaHorarioLugarLunes8:00 - 11:00Facultad de Ciencias, Dpto Electrónica, Despacho 6Viernes8:00 - 11:00Facultad de Ciencias, Dpto Electrónica, Despacho 6",https://etsiit.ugr.es/la-escuela/directorio-personal/diego-pedro-morales-santos
Juan Antonio Moreno Pérez,Departamento de Electrónica y Tecnología de Computadores,Grado en Ingeniería de Tecnologías de Telecomunicación: Circuitos Electrónicos para Radiofrecuencia  (Especialidad Sistemas Electrónicos); Grado en Ingeniería de Tecnologías de Telecomunicación: Componentes y Circuitos Electrónicos; Grado en Ingeniería de Tecnologías de Telecomunicación: Electrónica Analógica; Grado en Ingeniería de Tecnologías de Telecomunicación: Sistemas de Alimentación (Especialidad Sistemas Electrónicos),"DíaHorarioLugarMiércoles10:00 - 11:30Citic-Ugr, Despacho Db4Miércoles10:30 - 13:30Citic-Ugr, Despacho Db4Miércoles12:00 - 14:15Citic-Ugr, Despacho Db4Jueves10:00 - 12:15Citic-Ugr, Despacho Db4Jueves10:30 - 13:30Citic-Ugr, Despacho Db4",https://etsiit.ugr.es/la-escuela/directorio-personal/juan-antonio-moreno-perez
